MSOA,average_household_size
E02000962,1.9979274611398963
E02000963,2.534833091436865
E02000964,2.264041798843068
E02000965,2.16583885209713
E02000966,2.184338521400778
E02000967,1.971466489714665
E02000968,2.5509077963688145
E02000969,2.5102260495156083
E02000970,1.9187289088863893
E02000971,1.9540692989524577
E02000972,1.7805738476011288
E02000973,2.0227225349176567
E02000974,2.0545226130653265
E02000975,1.886435331230284
E02000976,1.9415954415954415
E02000977,1.6759825327510918
E02000978,2.2119349005424955
E02000979,1.904786150712831
E02000980,1.9988433957899607
E02000981,1.9259081068077941
E02000982,1.9828303850156088
E02000983,2.03859462336971
E02000984,2.3903960087309013
E02000985,2.307787775364567
E02000986,2.289632473944048
E02000987,2.0768563998844263
E02000988,2.447679209008514
E02000989,2.2315086782376503
E02000990,2.261517615176152
E02000991,2.3956923076923076
E02000992,2.265845708076784
E02000993,2.443800695249131
E02000994,2.7062726176115803
E02000995,2.414356580099212
E02000996,2.489210759680757
E02000997,2.3393382352941177
E02000998,2.770996489332973
E02000999,2.202200825309491
E02001000,2.202460024600246
E02001001,2.6906766448394137
E02001002,2.389106967615309
E02001003,2.5627874071453838
E02001004,3.0150474321229965
E02001005,2.7938053097345135
E02001006,3.042406669083001
E02001007,2.2857142857142856
E02001008,3.193149717514124
E02001009,2.50369623655914
E02001010,2.5898673100120626
E02001011,2.301984877126654
E02001012,3.1515761234071094
E02001013,2.4267413931144914
E02001014,2.226011102299762
E02001015,2.0761855402954135
E02001016,2.6056253740275284
E02001017,2.3098047629264107
E02001018,2.4641363782566743
E02001019,2.1723545298305917
E02001020,2.352988047808765
E02001021,2.3148614609571787
E02001022,2.33976833976834
E02001023,2.4526678141135974
E02001024,2.3697454114860865
E02001025,2.35697606538237
E02001026,2.5513698630136985
E02001027,2.2338684293358515
E02001028,2.3564740071036487
E02001029,2.659596662030598
E02001030,2.4459944200876844
E02001031,2.327685530328702
E02001032,2.3136058572300184
E02001033,2.294776119402985
E02001034,2.085350941550501
E02001035,2.4144144144144146
E02001036,2.4179056237879766
E02001037,2.3403624382207577
E02001038,2.116218236173393
E02001039,2.447480785653288
E02001040,2.353343465045593
E02001041,2.2509561635775226
E02001042,2.2479253112033195
E02001043,2.337968815844922
E02001044,3.35361488904796
E02001045,2.33564686285397
E02001046,2.544644896094999
E02001047,2.380449747590638
E02001048,2.6743185078909613
E02001049,2.470154577883472
E02001050,2.6055045871559632
E02001051,2.611567904734902
E02001052,3.3250283125707814
E02001053,2.5791194420226677
E02001055,2.365370138017566
E02001056,2.5697269029633936
E02001059,2.4457178578870598
E02001061,2.522795649155288
E02001062,2.5796695603472415
E02001063,2.2142650880739243
E02001064,2.713116849910509
E02001065,2.4614984391259105
E02001066,2.863069335654192
E02001067,2.7966019417475727
E02001068,2.8495510798349915
E02001069,2.766442017197304
E02001070,2.8729703915950333
E02001072,2.2473063109286815
E02001073,2.3079046424090337
E02001074,2.7057988165680475
E02001075,2.6112398609501737
E02001076,3.183834048640916
E02001077,2.432894736842105
E02001078,2.7958431991581163
E02001079,2.7298867266918383
E02001080,2.8134306569343064
E02001081,2.2488397001071045
E02001082,2.269655172413793
E02001083,2.0024533856722275
E02001084,2.547747747747748
E02001085,2.7976860537836146
