MSOA,number_measured,number_obese,obesity_rate
E02000540,250.0,47.0,18.8
E02000541,289.0,77.0,26.643598615916954
E02000542,338.0,97.0,28.698224852071007
E02000543,314.0,66.0,21.019108280254777
E02000544,246.0,40.0,16.260162601626014
E02000545,250.0,55.0,22.0
E02000546,373.0,95.0,25.46916890080429
E02000547,302.0,89.0,29.47019867549669
E02000548,293.0,75.0,25.597269624573375
E02000549,331.0,79.0,23.867069486404834
E02000550,382.0,89.0,23.298429319371728
E02000551,339.0,97.0,28.613569321533923
E02000552,245.0,72.0,29.38775510204082
E02000553,200.0,46.0,23.0
E02006792,108.0,19.0,17.59259259259259
E02000554,241.0,60.0,24.896265560165975
E02000555,227.0,37.0,16.299559471365637
E02000556,194.0,52.0,26.804123711340207
E02000557,185.0,29.0,15.675675675675677
E02000558,271.0,70.0,25.830258302583026
E02000559,169.0,24.0,14.201183431952662
E02000560,93.0,23.0,24.731182795698924
E02000561,134.0,15.0,11.194029850746269
E02000562,177.0,33.0,18.64406779661017
E02000563,220.0,62.0,28.18181818181818
E02000564,208.0,44.0,21.153846153846153
E02000565,225.0,61.0,27.111111111111114
E02000566,144.0,31.0,21.52777777777778
E02000567,216.0,40.0,18.51851851851852
E02000568,227.0,69.0,30.396475770925107
E02000569,198.0,57.0,28.78787878787879
E02000570,112.0,23.0,20.535714285714285
E02000571,186.0,32.0,17.20430107526882
E02000572,237.0,51.0,21.518987341772153
E02000573,97.0,24.0,24.742268041237114
E02000574,111.0,25.0,22.52252252252252
E02000575,154.0,33.0,21.428571428571427
E02000576,234.0,55.0,23.504273504273502
E02000577,266.0,53.0,19.924812030075188
E02000578,200.0,50.0,25.0
E02000579,156.0,26.0,16.666666666666664
E02000580,138.0,32.0,23.18840579710145
E02000581,253.0,71.0,28.063241106719367
E02000583,70.0,15.0,21.428571428571427
E02000584,51.0,11.0,21.568627450980394
E02000585,96.0,15.0,15.625
E02000587,68.0,16.0,23.52941176470588
E02000589,61.0,10.0,16.39344262295082
E02000590,74.0,14.0,18.91891891891892
E02000591,53.0,10.0,18.867924528301888
E02000593,62.0,14.0,22.58064516129032
E02000597,139.0,30.0,21.58273381294964
E02000598,290.0,34.0,11.724137931034482
E02000599,119.0,19.0,15.966386554621847
E02000600,207.0,39.0,18.84057971014493
E02000601,314.0,39.0,12.420382165605096
E02000602,204.0,45.0,22.058823529411764
E02000603,281.0,44.0,15.658362989323843
E02000604,279.0,40.0,14.336917562724013
E02000605,250.0,26.0,10.4
E02000606,123.0,23.0,18.69918699186992
E02000607,138.0,14.0,10.144927536231885
E02000609,224.0,38.0,16.964285714285715
E02000611,237.0,29.0,12.236286919831224
E02000612,236.0,35.0,14.83050847457627
E02000613,228.0,25.0,10.964912280701753
E02000614,308.0,66.0,21.428571428571427
E02000615,205.0,45.0,21.951219512195124
E02000616,176.0,43.0,24.431818181818183
E02000617,287.0,71.0,24.738675958188153
E02000619,194.0,45.0,23.195876288659793
E02000620,220.0,55.0,25.0
E02000621,215.0,53.0,24.651162790697676
E02000622,171.0,47.0,27.485380116959064
E02000623,272.0,71.0,26.10294117647059
E02000624,206.0,60.0,29.126213592233007
E02000625,289.0,74.0,25.60553633217993
E02000626,290.0,73.0,25.17241379310345
E02000627,199.0,56.0,28.14070351758794
E02000628,317.0,85.0,26.813880126182966
E02000629,132.0,31.0,23.484848484848484
E02000630,105.0,25.0,23.809523809523807
E02000631,217.0,34.0,15.668202764976957
E02000632,106.0,35.0,33.0188679245283
E02000633,266.0,70.0,26.31578947368421
E02000634,146.0,39.0,26.71232876712329
E02000635,204.0,49.0,24.019607843137255
E02000636,82.0,19.0,23.170731707317074
E02000637,140.0,32.0,22.857142857142858
E02000638,245.0,53.0,21.63265306122449
